NAME_2,NAME_3,avg_rainfall,max_rainfall,avg_temperature,elevation,landcover_class,ndvi,slope,soil_moisture,year,month,banjir,lat,long
Ngawi,ngawi,41.833,83.076,30.6,60.431,Unknown,0.619,0.282,40.97,2024,3,1,-7.4142,111.4543
bogor,tamansari,125.253,301.651,29.99,715.585,Tree cover,0.557,6.987,36.808,2021,10,0,-6.6564,106.7458
Kotawaringin Timur,kotabesi,44.179,61.135,27.21,15.536,Unknown,0.676,0.197,38.515,2024,2,1,-2.34,112.825
Buton Utara,wakorumba,43.955,104.725,24.95,210.003,Tree Cover,0.61,4.629,35.074,2021,6,1,-4.5188,122.9316
bogor,rancabungur,84.408,142.462,27.06,144.929,Tree cover,0.549,0.575,38.917,2024,1,0,-6.5217,106.7137
jakarta selatan,jagakarsa,36.901,86.501,37.7,57.304,Built-up,0.304,0.27,40.535,2023,1,1,-6.334,106.8224
Grobogan,pulokulon,48.084,102.427,31.21,70.489,Tree Cover,0.667,0.469,41.977,2020,2,1,-7.1672,111.0544
kota tangerang,batuceper,69.069,125.868,39.23,10.341,Built-up,0.211,0.068,37.386,2020,1,0,-6.1618,106.6703
depok,sukmajaya,42.402,86.881,37.59,88.001,Built-up,0.265,0.34,41.41,2022,12,0,-6.3973,106.8436
tangerang selatan,ciputat,37.758,59.13,38.07,44.431,Built-up,0.436,0.212,40.709,2022,4,1,-6.3082,106.7277
jakarta utara,penjaringan,10.753,21.552,34.06,3.083,Built-up,0.321,0.074,35.551,2021,7,0,-6.115,106.7639
tangerang,kelapadua,65.04,86.108,35.52,27.206,Built-up,0.44,0.146,39.685,2024,4,0,-6.2426,106.6094
Gresik,balongpanggang,56.684,77.225,34.02,23.745,Unknown,0.445,0.189,39.874,2022,11,1,-7.2692,112.4366
kota tangerang,pinang,14.489,31.262,35.06,19.041,Built-up,0.405,0.132,34.593,2020,7,0,-6.2153,106.6662
kota bekasi,pondokgede,1.375,1.735,40.09,24.987,Built-up,0.284,0.142,30.252,2023,9,0,-6.2691,106.9299
Seluma,lubuksandi,47.285,92.894,26.97,412.71,Unknown,0.74,4.245,32.613,2022,12,1,-3.9104,102.5417
Polewali Mandar,matakali,65.927,91.153,30.93,247.868,Unknown,0.657,4.615,35.483,2024,12,1,-3.3599,119.2906
jakarta barat,kalideres,44.15,68.293,39.31,5.258,Built-up,0.188,0.071,37.62,2024,12,0,-6.1346,106.7039
Kupang,semauselatan,46.794,109.291,26.47,37.089,Unknown,0.7,0.946,35.447,2024,3,1,-10.2812,123.3606
Cilacap,cimanggu,67.389,122.741,28.5,182.48,Tree Cover,0.703,3.44,38.276,2024,2,1,-7.3105,108.8418
jakarta utara,koja,36.952,71.341,41.99,3.739,Built-up,0.155,0.063,38.384,2021,11,0,-6.1215,106.905
Kutai Barat,damai,54.824,87.506,27.33,75.81,Unknown,0.777,0.526,34.09,2023,4,1,-0.6232,115.5373
jakarta pusat,cempakaputih,3.329,9.944,40.41,8.401,Built-up,0.224,0.095,33.061,2023,10,0,-6.1809,106.8681
bekasi,sukatani,38.454,60.984,28.97,9.292,Cropland,0.363,0.08,38.207,2022,2,0,-6.1918,107.1559
bogor,tenjolaya,77.953,140.964,28.74,736.012,Tree cover,0.704,6.928,38.332,2022,5,0,-6.6537,106.708
Gorontalo,telagajaya,29.916,78.826,28.64,10.752,Unknown,0.521,0.241,36.736,2024,7,1,0.5806,123.0231
Pemalang,ulujami,37.062,88.232,28.06,5.659,Unknown,0.297,0.094,38.541,2022,12,1,-6.8404,109.5408
jakarta pusat,gambir,7.977,35.153,38.05,7.605,Built-up,0.258,0.061,34.128,2020,8,0,-6.1715,106.8181
bogor,gunungsindur,43.453,75.876,31.79,72.997,Tree cover,0.583,0.372,37.413,2022,8,0,-6.3871,106.6872
Kudus,jekulo,56.048,157.267,28.81,53.339,Tree Cover,0.571,1.273,37.975,2024,3,1,-6.8005,110.9345
jakarta timur,kramatjati,20.078,68.415,39.1,30.295,Built-up,0.296,0.152,38.699,2021,9,0,-6.2763,106.8654
Mandailing Natal,natal,26.136,59.177,26.38,285.841,Unknown,0.71,3.636,36.888,2023,9,1,0.7159,99.184
Langkat,hinai,23.013,25.694,28.38,8.112,Unknown,0.753,0.091,33.677,2024,12,1,3.833,98.4285
depok,bojongsari,69.089,198.21,36.92,87.016,Built-up,0.429,0.265,39.373,2022,9,0,-6.3943,106.7378
bekasi,sukakarya,6.04,9.478,31.56,5.911,Cropland,0.484,0.05,26.417,2024,8,0,-6.1449,107.1856
bogor,cijeruk,62.094,93.317,25.43,717.352,Tree cover,0.7,7.732,37.638,2022,3,0,-6.686,106.7843
Lahat,gumaytalang,45.18,65.394,27.43,254.938,Tree Cover,0.582,2.093,37.565,2020,2,1,-3.7805,103.4589
bekasi,serangbaru,37.195,83.207,33.61,47.778,Tree cover,0.586,0.25,37.475,2023,4,0,-6.3956,107.1143
bogor,cibinong,48.717,78.003,36.18,134.037,Built-up,0.419,0.322,39.911,2022,1,1,-6.4839,106.8354
Sukabumi,cikembar,50.436,76.853,30.9,343.361,Unknown,0.758,1.984,39.225,2020,3,1,-6.9742,106.7982
jakarta selatan,pasarminggu,47.81,80.233,39.04,35.89,Built-up,0.307,0.23,40.568,2022,1,0,-6.2908,106.8293
bogor,dramaga,47.982,155.621,30.26,248.285,Tree cover,0.643,1.71,36.116,2023,6,0,-6.5888,106.7298
bogor,klapanunggal,53.07,86.987,31.78,203.856,Tree cover,0.476,3.061,39.726,2020,12,0,-6.483,106.9553
Ketapang,sandai,36.578,87.933,27.5,67.152,Tree Cover,0.825,0.965,29.137,2021,7,1,-1.1828,110.6137
kota bekasi,rawalumbu,17.407,50.74,37.89,27.96,Built-up,0.311,0.131,31.477,2024,9,0,-6.2812,106.9942
Kuantan Singingi,kuantanhilir,59.698,95.905,27.79,69.289,Tree Cover,0.684,0.433,38.559,2024,5,1,-0.472,101.7699
Sumba Timur,ngadungala,20.118,95.268,28.08,265.761,Unknown,0.828,5.04,26.383,2021,4,1,-10.1929,120.4022
bogor,tenjolaya,49.565,87.604,25.76,736.012,Tree cover,0.694,6.928,38.066,2022,6,0,-6.6537,106.708
